book_id,book_authors,book_desc,book_edition,book_format,book_isbn,book_pages,book_rating,book_rating_count,book_review_count,book_title,genres,image_url,book_price
554,Colleen Hoover,"This is an alternate cover edition for  ASIN B008TRUDAS.Following the unexpected death of her father, 18-year-old Layken is forced to be the rock for both her mother and younger brother. Outwardly, she appears resilient and tenacious, but inwardly, she's losing hope.Enter Will Cooper: The attractive, 21-year-old new neighbor with an intriguing passion for slam poetry and a unique sense of humor. Within days of their introduction, Will and Layken form an intense emotional connection, leaving Layken with a renewed sense of hope.Not long after an intense, heart-stopping first date, they are slammed to the core when a shocking revelation forces their new relationship to a sudden halt. Daily interactions become impossibly painful as they struggle to find a balance between the feelings that pull them together, and the secret that keeps them apart.",,ebook,,317,4.28,188363,15250,Slammed,Romance|New Adult|Young Adult|Contemporary|Romance|Contemporary Romance,https://images.gr-assets.com/books/1328530463l/13372690.jpg,317
555,Anthony Doerr,"An alternate cover for this ISBN can be found hereWinner of the Pulitzer Prize, a New York Times Book Review Top Ten Book, National Book Award finalist, more than two and a half years on the New York Times bestseller listFrom the highly acclaimed, multiple award-winning Anthony Doerr, the stunningly beautiful instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.Marie-Laure lives in Paris near the Museum of Natural History, where her father works. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel.In a mining town in Germany, Werner Pfennig, an orphan, grows up with his younger sister, enchanted by a crude radio they find that brings them news and stories from places they have never seen or imagined. Werner becomes an expert at building and fixing these crucial new instruments and is enlisted to use his talent to track down the resistance. Deftly interweaving the lives of Marie-Laure and Werner, Doerr illuminates the ways, against all odds, people try to be good to one another.Doerr’s “stunning sense of physical detail and gorgeous metaphors” (San Francisco Chronicle) are dazzling. Ten years in the writing, a National Book Award finalist, All the Light We Cannot See is a magnificent, deeply moving novel from a writer “whose sentences never fail to thrill” (Los Angeles Times).",,Hardcover,9.78E+12,531,4.32,715245,62173,All the Light We Cannot See,Historical|Historical Fiction|Fiction|Historical|War,https://images.gr-assets.com/books/1451445646l/18143977.jpg,531
556,Cecelia Ahern,"A novel about holding on, letting go, and learning to love again.Now in paperback, the endearing novel that captured readers' hearts and introduced a fresh new voice in women's fiction Cecelia Ahern. Holly couldn't live without her husband Gerry, until the day she had to. They were the kind of young couple who could finish each other's sentences. When Gerry succumbs to a terminal illness and dies, 30-year-old Holly is set adrift, unable to pick up the pieces. But with the help of a series of letters her husband left her before he died and a little nudging from an eccentric assortment of family and friends, she learns to laugh, overcome her fears, and discover a world she never knew existed. The kind of enchanting novel with cross-generational appeal that comes along once in a great while, PS, I Love You is a captivating love letter to the world!",,Paperback,9.78E+12,470,4.01,306380,7462,P.S. I Love You,Romance|Womens Fiction|Chick Lit|Fiction|Contemporary|Adult|Romance|Contemporary Romance|Love|Adult Fiction|Drama|Cultural|Ireland,https://images.gr-assets.com/books/1392344536l/366522.jpg,470
557,C.S. Lewis,"The Horse and his Boy is a stirring and dramatic fantasy story that finds a young boy named Shasta on the run from his homeland with the talking horse, Bree. When the pair discover a deadly plot by the Calormen people to conquer the land of Narnia, the race is on to warn the inhabitants of the impending danger and to rescue them all from certain death.",,Paperback,9.78E+12,224,3.91,229692,5665,The Horse and His Boy,Fantasy|Classics|Fiction|Young Adult|Childrens,https://images.gr-assets.com/books/1388210968l/84119.jpg,224
558,William Shakespeare|Robert Jackson|Barbara A. Mowat|Paul Werstine,,Folger Shakespeare Library,Paperback,9.78E+12,237,3.79,141205,3017,The Merchant of Venice,Classics|Plays|Drama|Fiction,https://images.gr-assets.com/books/1327871054l/24128.jpg,237
559,Rick Riordan,"Since his mother's death six years ago, Carter Kane has been living out of a suitcase, traveling the globe with his father, the brilliant Egyptologist, Dr. Julius Kane. But while Carter's been homeschooled, his younger sister, Sadie, has been living with their grandparents in London. Sadie has just what Carter wants—school friends and a chance at a ""normal"" life. But Carter has just what Sadie longs for—time with their father. After six years of living apart, the siblings have almost nothing in common. Until now.On Christmas Eve, Sadie and Carter are reunited when their father brings them to the British Museum, with a promise that he's going to ""make things right."" But all does not go according to plan: Carter and Sadie watch as Julius summons a mysterious figure, who quickly banishes their father and causes a fiery explosion.Soon Carter and Sadie discover that the gods of Ancient Egypt are waking, and the worst of them—Set—has a frightening scheme. To save their father, they must embark on a dangerous journey—a quest that brings them ever closer to the truth about their family and its links to the House of Life, a secret order that has existed since the time of the pharaohs.",,Hardcover,9.78E+12,516,4.07,271129,11789,The Red Pyramid,Fantasy|Young Adult|Fantasy|Mythology,https://images.gr-assets.com/books/1366227978l/7090447.jpg,516
560,Edmond Rostand|Eteel Lawson|Lowell Bair,"This is Edmond Rostand's immortal play in which chivalry and wit, bravery and love are forever captured in the timeless spirit of romance. Set in Louis XIII's reign, it is the moving and exciting drama of one of the finest swordsmen in France, gallant soldier, brilliant wit, tragic poet-lover with the face of a clown. Rostand's extraordinary lyric powers gave birth to a universal hero--Cyrano de Bergerac--and ensured his own reputation as author of one of the best-loved plays in the literature of the stage. This translation, by the American poet Brian *****, is nearly as famous as the original play itself, and is generally considered to be one of the finest English verse translations ever written.",,Paperback,9.78E+12,240,4.05,66561,1720,Cyrano de Bergerac,Classics|Plays|Fiction|Drama|Cultural|France|Romance,https://images.gr-assets.com/books/1386920459l/15638.jpg,240
561,Arthur C. Clarke,"On the Moon, an enigma is uncovered.So great are the implications of this discovery that for the first time men are sent out deep into our solar system.But long before their destination is reached, things begin to go horribly, inexplicably wrong...One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",,Paperback,9.78E+12,297,4.13,201953,4368,2001: A Space Odyssey,Science Fiction|Fiction|Classics|Science Fiction Fantasy|Space|Fantasy|Novels|Audiobook|Literature|Speculative Fiction,https://images.gr-assets.com/books/1432468943l/70535.jpg,297
562,John Steinbeck,"The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.First published in 1939, Steinbeck’s Pulitzer Prize-winning epic of the Great Depression chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads—driven from their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s powerful landmark novel is perhaps the most American of American Classics.",75th Anniversary Edition,Hardcover,9.78E+12,479,3.94,617033,14387,The Grapes of Wrath,Classics|Fiction|Historical|Historical Fiction|Literature,https://images.gr-assets.com/books/1513108059l/18114322.jpg,479
563,Diana Gabaldon,"In this breathtaking novel—rich in history and adventure—The New York Times bestselling author Diana Gabaldon continues the story of Claire Randall and Jamie Fraser that began with the now-classic novel Outlander and continued in Dragonfly in Amber and Voyager. Once again spanning continents and centuries, Diana Gabaldon has created a work of sheer passion and brilliance.... It began at an ancient Scottish stone circle. There, a doorway, open to a select few, leads into the past—or the grave. Dr. Claire Randall survived the extraordinary passage, not once but twice.Her first trip swept her into the arms of Jamie Fraser, an eighteenth-century Scot whose love for her became a legend—a tale of tragic passion that ended with her return to the present to bear his child. Her second journey, two decades later, brought them together again in the American colonies. But Claire had left someone behind in the twentieth century—their daughter, Brianna....Now Brianna has made a disturbing discovery that sends her to the circle of stones and a terrifying leap into the unknown. In search of her mother and the father she has never met, she is risking her own future to try to change history ... and to save their lives. But as Brianna plunges into an uncharted wilderness, a heartbreaking encounter may strand her forever in the past ... or root her in the place she should be, where her heart and soul belong....",,Paperback,9.78E+12,880,4.34,167589,6728,Drums of Autumn,Historical|Historical Fiction|Romance|Fantasy|Fiction|Science Fiction|Time Travel|Historical,https://images.gr-assets.com/books/1500688941l/10988.jpg,880
